Time,Temperature_C,Pressure_kPa,Voltage_V
09:39:00,19.63,101.32,5.053
09:41:00,18.85,100.61,5.0
09:02:00,22.4,101.59,5.006
09:48:00,19.49,100.9,5.014
09:50:00,19.33,101.19,4.968
09:25:00,23.49,101.54,
09:33:00,21.67,101.35,4.965
09:35:00,,101.33,4.978
09:40:00,19.17,100.91,5.005
09:38:00,19.78,101.03,4.952
09:23:00,24.06,101.11,--
09:53:00,20.35,101.45,4.999
09:45:00,19.57,100.58,5.063
09:03:00,22.58,101.67,5.023
09:26:00,23.49,102.22,5.051
09:58:00,21.77,101.31,4.98
09:20:00,25.16,101.79,5.006
09:09:00,24.95,101.76,5.0
09:52:00,19.72,100.75,4.922
09:18:00,24.68,100.08,4.97
09:32:00,20.74,101.18,4.982
09:56:00,,101.98,4.972
09:16:00,24.73,100.51,4.965
09:51:00,20.0,101.09,4.984
09:49:00,19.15,101.58,4.955
09:46:00,19.12,101220.0,5.053
09:30:00,22.06,N/A,4.968
09:47:00,19.32,100.72,-12.0
09:37:00,19.86,100.58,5.001
09:55:00,20.28,101.44,4.928
09:12:00,24.65,101.11,
09:21:00,24.07,101190.0,5.004
09:31:00,21.68,101.57,4.974
09:29:00,21.34,101.92,4.996
09:34:00,20.13,101720.0,--
09:22:00,23.52,101.39,5.006
09:04:00,22.44,101.68,5.046
09:13:00,24.81,100.86,4.96
09:28:00,22.48,100.95,5.012
09:27:00,22.82,101.43,5.01
09:54:00,20.44,101.52,4.974
09:43:00,18.67,101.11,5.063
09:17:00,25.15,101.12,4.977
09:59:00,22.03,101.56,5.011
09:19:00,24.56,N/A,5.001
09:24:00,,101.49,5.083
09:05:00,23.91,101.8,5.035
09:44:00,18.52,100.66,5.066
09:06:00,23.8,101.54,
09:57:00,999.9,101.37,4.98
09:01:00,22.59,101.45,4.985
09:15:00,25.01,100.7,4.922
09:00:00,,102.18,4.999
09:14:00,24.67,101.24,4.966
09:05:00,23.91,101.8,5.035
09:10:00,25.0,100.63,5.005
09:08:00,999.9,101.54,
09:07:00,24.12,101.35,4.994
09:11:00,24.72,100.95,5.019
09:42:00,19.42,101.17,5.015
09:36:00,19.36,101.41,4.959
,,,
