Time,Temperature_C,Pressure_kPa,Voltage_V
09:34:00,19.92,101.07,4.951
09:49:00,20.07,101.14,4.945
09:52:00,20.91,101150.0,4.976
09:31:00,999.9,101.39,4.99
09:50:00,20.3,101220.0,4.952
09:26:00,22.01,101.45,5.014
09:00:00,22.58,101.92,4.984
09:28:00,22.23,101.47,
09:01:00,22.39,101.87,5.042
09:41:00,18.66,100.72,5.021
09:27:00,21.83,101.99,4.982
09:08:00,24.56,N/A,5.004
09:09:00,24.39,101.58,5.025
09:12:00,24.66,100.93,4.966
09:46:00,20.09,101.14,4.978
09:51:00,21.29,101.41,4.964
09:22:00,23.45,N/A,5.031
09:45:00,19.32,101.09,--
09:16:00,24.56,100.79,4.984
09:53:00,,101.16,4.969
09:40:00,19.25,101470.0,5.021
09:48:00,20.2,101.49,4.97
09:11:00,999.9,100.49,4.939
09:29:00,21.28,101.59,5.003
09:38:00,19.23,101.35,5.051
09:15:00,25.03,101.15,
09:02:00,22.82,101.1,5.018
09:24:00,22.35,101.6,5.113
09:18:00,24.74,100.93,4.993
09:05:00,23.88,102.1,5.074
09:13:00,25.1,101.19,4.931
09:35:00,20.45,101.32,5.013
09:23:00,23.59,102.02,5.05
09:05:00,23.88,102.1,5.074
09:37:00,,100.62,5.005
09:32:00,20.31,101.65,--
09:04:00,23.68,101.42,5.016
09:03:00,23.48,101.89,5.036
09:36:00,19.77,101.49,5.029
09:19:00,24.74,100.92,5.037
09:25:00,23.0,102.07,5.014
09:43:00,19.15,100.98,5.009
09:20:00,24.47,101.34,5.043
09:47:00,19.36,101.66,4.951
09:30:00,20.85,101.87,4.983
09:33:00,19.82,100.97,4.99
09:06:00,23.78,101.65,5.036
09:54:00,,102.42,4.995
09:10:00,25.09,100.98,5.012
09:17:00,24.86,100.8,5.01
09:42:00,19.25,100.69,
09:21:00,23.57,101.47,5.043
09:07:00,23.77,101.56,5.065
09:44:00,19.93,100.64,-12.0
09:14:00,25.28,100.34,4.928
09:39:00,19.36,100.91,5.022
,,,
